run_id,experiment,seed,tabu_size,neighborhood,aspiration,diversification,init_cost,best_cost,runtime_s
1,E1_basic,42,10,complete,none,none,1646,1150,0.19928245800110744
2,E1_basic,123,10,complete,none,none,1648,1150,0.19908045899501303
3,E1_basic,256,10,complete,none,none,1616,1160,0.1982294589979574
4,E1_basic,789,10,complete,none,none,1602,1152,0.20077391600352712
5,E1_basic,1024,10,complete,none,none,1648,1150,0.20039662499766564
6,E2_small_tabu,42,5,complete,none,none,1646,1152,0.19499170900235185
7,E2_small_tabu,123,5,complete,none,none,1648,1152,0.19617862500308547
8,E2_small_tabu,256,5,complete,none,none,1616,1152,0.19593662500119535
9,E2_small_tabu,789,5,complete,none,none,1602,1186,0.19666395900276257
10,E2_small_tabu,1024,5,complete,none,none,1648,1152,0.19516920799651416
11,E3_large_tabu,42,15,complete,none,none,1646,1150,0.19842020900250645
12,E3_large_tabu,123,15,complete,none,none,1648,1150,0.20420270899921888
13,E3_large_tabu,256,15,complete,none,none,1616,1160,0.20097204199555563
14,E3_large_tabu,789,15,complete,none,none,1602,1150,0.1997778329969151
15,E3_large_tabu,1024,15,complete,none,none,1648,1150,0.19826458400348201
16,E4_dynamic_tabu,42,dynamic(5-15),complete,none,none,1646,1156,0.19942612500017276
17,E4_dynamic_tabu,123,dynamic(5-15),complete,none,none,1648,1160,0.2024727919997531
18,E4_dynamic_tabu,256,dynamic(5-15),complete,none,none,1616,1158,0.20190200000070035
19,E4_dynamic_tabu,789,dynamic(5-15),complete,none,none,1602,1160,0.20330970900249667
20,E4_dynamic_tabu,1024,dynamic(5-15),complete,none,none,1648,1150,0.2024130419958965
21,E5_aspiration,42,10,complete,best_so_far,none,1646,1150,0.20150300000386778
22,E5_aspiration,123,10,complete,best_so_far,none,1648,1152,0.20350520899955882
23,E5_aspiration,256,10,complete,best_so_far,none,1616,1150,0.19803987500199582
24,E5_aspiration,789,10,complete,best_so_far,none,1602,1152,0.19840666599338874
25,E5_aspiration,1024,10,complete,best_so_far,none,1648,1150,0.1988482919987291
26,E6_partial,42,10,partial_50pct,best_so_far,none,1646,1160,0.10132462500041584
27,E6_partial,123,10,partial_50pct,best_so_far,none,1648,1160,0.10260299999936251
28,E6_partial,256,10,partial_50pct,best_so_far,none,1616,1152,0.1016187080022064
29,E6_partial,789,10,partial_50pct,best_so_far,none,1602,1150,0.1006461670040153
30,E6_partial,1024,10,partial_50pct,best_so_far,none,1648,1150,0.10134474999358645
31,E7_diversification,42,10,complete,best_so_far,random_restart,1646,1150,0.20282787500036648
32,E7_diversification,123,10,complete,best_so_far,random_restart,1648,1160,0.20180750000145053
33,E7_diversification,256,10,complete,best_so_far,random_restart,1616,1150,0.20037812500231666
34,E7_diversification,789,10,complete,best_so_far,random_restart,1602,1150,0.204873916998622
35,E7_diversification,1024,10,complete,best_so_far,random_restart,1648,1150,0.2051734580018092
